index,소비자물가지수,인플레이션율
2004-01,71.172,
2004-02,71.487,0.4425897824987323
2004-03,72.181,0.970805880789518
2004-04,72.181,0.0
2004-05,72.119,-0.0858951801720641
2004-06,72.119,0.0
2004-07,72.561,0.612875941152827
2004-08,73.191,0.8682350022739425
2004-09,73.191,0.0
2004-10,73.191,0.0
2004-11,72.75,-0.6025330983317655
2004-12,72.877,0.1745704467353888
2005-01,73.594,0.9838494998421982
2005-02,73.892,0.4049243144821614
2005-03,74.338,0.6035836085097142
2005-04,74.413,0.1008905270521171
2005-05,74.338,-0.1007888406595659
2005-06,74.114,-0.3013263741289644
2005-07,74.413,0.4034325498556175
2005-08,74.636,0.2996788195610968
2005-09,75.008,0.4984189935151936
2005-10,74.859,-0.1986454778157008
2005-11,74.561,-0.3980817269800393
2005-12,74.785,0.3004251552420025
2006-01,75.231,0.5963762786655051
2006-02,75.381,0.1993858914543282
2006-03,75.827,0.5916610286411668
2006-04,75.902,0.0989093594629918
2006-05,76.05,0.1949882743537668
2006-06,75.902,-0.1946088099934202
2006-07,76.199,0.3912940370477683
2006-08,76.645,0.5853095184976154
2006-09,76.868,0.290951790723464
2006-10,76.496,-0.4839465056980797
2006-11,76.125,-0.484992679355777
2006-12,76.348,0.2929392446633813
2007-01,76.496,0.1938492167443759
2007-02,77.017,0.681081363731438
2007-03,77.464,0.5803913421712126
2007-04,77.761,0.3834039037488344
2007-05,77.836,0.0964493769370286
2007-06,77.836,0.0
2007-07,78.134,0.3828562618839635
2007-08,78.208,0.0947090895128856
2007-09,78.655,0.5715527823240624
2007-10,78.803,0.1881634988239732
2007-11,78.803,0.0
2007-12,79.101,0.3781581919470094
2008-01,79.472,0.4690206192083477
2008-02,79.771,0.3762331387155307
2008-03,80.515,0.9326697672086344
2008-04,80.962,0.5551760541514038
2008-05,81.63,0.8250784318569108
2008-06,82.151,0.6382457429866482
2008-07,82.747,0.7254932989251545
2008-08,82.598,-0.1800669510677135
2008-09,82.673,0.0908012300539999
2008-10,82.598,-0.0907188562166642
2008-11,82.375,-0.2699823240272149
2008-12,82.375,0.0
2009-01,82.45,0.0910470409711718
2009-02,83.045,0.721649484536081
2009-03,83.64,0.7164790174002034
2009-04,83.862,0.2654232424677118
2009-05,83.862,0.0
2009-06,83.788,-0.0882402041449024
2009-07,84.086,0.3556595216498804
2009-08,84.384,0.354399067621247
2009-09,84.459,0.0888794084186609
2009-10,84.235,-0.2652174427828931
2009-11,84.384,0.1768860924793742
2009-12,84.682,0.3531475161168015
2010-01,85.351,0.7900144068397026
2010-02,85.523,0.2015207789012396
2010-03,85.696,0.20228476550168
2010-04,86.041,0.4025858849887963
2010-05,86.128,0.1011145849071992
2010-06,86.041,-0.101012446591124
2010-07,86.214,0.2010669332062642
2010-08,86.647,0.5022386155380877
2010-09,87.337,0.7963345528408343
2010-10,87.337,0.0
2010-11,86.906,-0.4934907313051712
2010-12,87.251,0.3969806457551824
2011-01,88.288,1.188525059884691
2011-02,88.892,0.6841246828561064
2011-03,89.238,0.3892363767268186
2011-04,89.325,0.0974920997781251
2011-05,89.497,0.192555275678698
2011-06,89.67,0.1933025688011909
2011-07,90.102,0.4817664770826387
2011-08,90.707,0.6714612328250091
2011-09,90.62,-0.0959132150771044
2011-10,90.448,-0.1898035753696879
2011-11,90.534,0.0950822572085759
2011-12,90.879,0.3810723043276546
2012-01,91.242,0.399432212062192
2012-02,91.588,0.379211328116426
2012-03,91.614,0.028387998427753
2012-04,91.605,-0.009823826052787
2012-05,91.769,0.1790295289558446
2012-06,91.639,-0.1416600377033744
2012-07,91.432,-0.2258863584281732
2012-08,91.855,0.4626389010412129
2012-09,92.512,0.7152577431821855
2012-10,92.339,-0.1870027672085803
2012-11,92.011,-0.35521285697268
2012-12,92.175,0.1782395583136815
2013-01,92.728,0.5999457553566556
2013-02,93.038,0.3343111034423284
2013-03,92.952,-0.0924353489971823
2013-04,92.823,-0.1387813064807695
2013-05,92.823,0.0
2013-06,92.71,-0.1217370694763146
2013-07,92.909,0.2146478265559403
2013-08,93.238,0.3541099355283056
2013-09,93.419,0.1941268581479626
2013-10,93.134,-0.3050771256382498
2013-11,93.116,-0.0193269912169569
2013-12,93.229,0.1213540100519776
2014-01,93.73,0.5373864355511748
2014-02,93.98,0.2667235676944414
2014-03,94.153,0.1840817195147923
2014-04,94.214,0.0647881639459102
2014-05,94.369,0.1645190735984048
2014-06,94.248,-0.1282200722694901
2014-07,94.386,0.1464222052457251
2014-08,94.551,0.1748140614074187
2014-09,94.49,-0.0645154466901535
2014-10,94.205,-0.3016192189649662
2014-11,94.015,-0.201687808502731
2014-12,94.006,-0.0095729404882203
2015-01,94.643,0.6776163223624029
2015-02,94.587,-0.059169722007964
2015-03,94.596,0.0095150496368426
2015-04,94.625,0.0306566873863549
2015-05,94.89,0.2800528401585211
2015-06,94.909,0.0200231847402312
2015-07,95.08,0.180172586372201
2015-08,95.213,0.1398822044593979
2015-09,94.966,-0.2594183567370001
2015-10,94.966,0.0
2015-11,94.786,-0.1895415201229836
2015-12,95.07,0.2996223070917559
2016-01,95.232,0.1704007573367057
2016-02,95.64,0.4284274193548401
2016-03,95.393,-0.2582601421999163
2016-04,95.573,0.1886930906879882
2016-05,95.63,0.0596402749730595
2016-06,95.611,-0.019868242183406
2016-07,95.431,-0.1882628567842683
2016-08,95.677,0.2577778709224564
2016-09,96.247,0.5957544655455262
2016-10,96.379,0.1371471318586605
2016-11,96.237,-0.1473350003631601
2016-12,96.342,0.1091056454378295
2017-01,97.366,1.062880156110524
2017-02,97.632,0.273195982170373
2017-03,97.565,-0.0686250409701811
2017-04,97.442,-0.1260697996207704
2017-05,97.546,0.1067301574269959
2017-06,97.338,-0.2132327312242558
2017-07,97.499,0.1654030286219168
2017-08,98.058,0.5733392137355375
2017-09,98.172,0.1162577250198761
2017-10,98.077,-0.0967689361528734
2017-11,97.347,-0.744313141715187
2017-12,97.698,0.3605658109648978
2018-01,98.106,0.4176134618927729
2018-02,98.855,0.7634599310949478
2018-03,98.751,-0.1052045925850986
2018-04,98.931,0.1822766351733072
2018-05,98.979,0.0485186645237608
2018-06,98.779,-0.2020630638822405
2018-07,98.59,-0.1913362151874315
2018-08,99.462,0.8844710416877979
2018-09,100.221,0.7631055076310553
2018-10,100.041,-0.1796030771993961
2018-11,99.33,-0.7107086094701158
2018-12,98.988,-0.3443068559347616
2019-01,98.884,-0.1050632399886846
2019-02,99.311,0.4318191011690533
2019-03,99.121,-0.1913181822758928
2019-04,99.481,0.3631924617386824
2019-05,99.652,0.1718921201033428
2019-06,99.491,-0.1615622365833112
2019-07,99.187,-0.3055552763566574
2019-08,99.425,0.2399508000040323
2019-09,99.794,0.3711340206185565
2019-10,100.041,0.2475098703328856
2019-11,99.481,-0.5597704940974223
2019-12,99.719,0.2392416642373916
2020-01,100.09,0.372045447708069
2020-02,100.16,0.069937056649009
2020-03,99.94,-0.2196485623003183
2020-04,99.5,-0.4402641584950947
2020-05,99.44,-0.0603015075376907
2020-06,99.71,0.2715205148833427
2020-07,99.63,-0.080232674756793
2020-08,100.19,0.562079694871025
2020-09,100.74,0.5489569817347013
2020-10,100.18,-0.5558864403414613
2020-11,100.09,-0.0898382910760664
2020-12,100.33,0.2397841942251921
2021-01,101.04,0.7076647064686614
2021-02,101.58,0.5344418052256452
2021-03,101.84,0.2559558968300897
2021-04,101.98,0.1374705420267091
2021-05,102.05,0.0686409099823427
2021-06,102.05,0.0
2021-07,102.26,0.2057814796668377
2021-08,102.75,0.4791707412477947
2021-09,103.17,0.4087591240875929
2021-10,103.35,0.1744693224774572
2021-11,103.87,0.5031446540880603
2021-12,104.04,0.1636661211129312
2022-01,104.69,0.6247597078046823
2022-02,105.3,0.5826726525933703
2022-03,106.06,0.7217473884140599
2022-04,106.85,0.744861399207988
2022-05,107.56,0.6644829199812897
2022-06,108.22,0.6136110078095914
2022-07,108.74,0.4805026797264795
